Group,Matrix ID,Name,RCM Bandwidth,Directional Mean Bias,Signed Frobenius Ratio,Gershgorin Discs,Strictly Diagonally Dominant Row Fraction,Brauer Mean Product,Brauer Max Product,Brauer Min Product,Brauer Max Center Distance,Brauer Mean Center Distance,Fiedler Value,Brauer Mean Product (Top)
HB,1,1138_bus,282,2.566237378969017,1.0617372518506647,"[[-40366.7232,40366.7232]]",0,20010331.139653496,1629472339.4834146,1.732897902,40156.85957,1602.748111520572,0.097496432,20.86581154415392
HB,2,494_bus,130,2.396013847675931,1.0792046033297331,"[[-40015.4225,40015.4225]]",0,9628653.560836827,1601234036.1728585,0.116086984,39924.44896,812.2731028481394,0.07488884,16.333733493397357
HB,3,662_bus,223,2.789966113042748,1.2898122637369798,"[[-4032.258,4032.258]]",0,173203.53848107078,16259104.82049948,11.01177856,3892.636325,154.2201036886823,0.162185225,19.267582861762328
HB,4,685_bus,154,4.265282537754345,1.640424683948723,"[[-26447.355,26447.355]]",0,1683106.6648465332,699462585.4381309,15.13992613563364,26262.1698,430.2219872629732,0.2660478680414975,30.789473684210527
HB,6,arc130,199,-4.61E-05,-29351.48519,"[[-1084597.375,1084597.375]]",0,4386691155.683319,99869861473.16946,0.7948548395106322,1084596.375,100158.59095419898,0,464.8148505303761
HB,8,ash292,64,inf,inf,"[[-14.0,14.0]]",0,64.51086956521739,196,16,9,1.4619565217391304,0.02619847,64.51086956521739
HB,13,bcspwr01,15,inf,inf,"[[-6.0,6.0]]",0,13.50381679389313,36,4,3,0.8854961832061069,0.064576604,13.50381679389313
HB,14,bcspwr02,26,inf,inf,"[[-7.0,7.0]]",0,16.209580838323355,49,4,5,1.2934131736526946,0.079752986,16.209580838323355
HB,15,bcspwr03,41,inf,inf,"[[-10.0,10.0]]",0,21.89075630252101,100,4,7,1.6890756302521008,0.027132162,21.89075630252101
HB,16,bcspwr04,84,inf,inf,"[[-16.0,16.0]]",0,64.48138957816377,256,4,12,2.684863523573201,0.029882463,64.48138957816377
HB,17,bcspwr05,121,inf,inf,"[[-10.0,10.0]]",0,19.45101663585952,100,4,8,1.5723967960566851,0.00987945,19.45101663585952
HB,18,bcspwr06,223,inf,inf,"[[-13.0,13.0]]",0,19.238490566037736,169,4,11,1.5849056603773586,0.00221296,19.238490566037736
HB,19,bcspwr07,254,inf,inf,"[[-13.0,13.0]]",0,19.289835164835164,169,4,11,1.6744505494505495,0.00139031,19.289835164835164
HB,20,bcspwr08,248,inf,inf,"[[-14.0,14.0]]",0,20.91206611570248,196,4,12,1.7811570247933883,0.002233939,20.91206611570248
HB,21,bcspwr09,237,inf,inf,"[[-15.0,15.0]]",0,21.60482260789433,225,4,13,1.7981876823836584,0.001856176,21.60482260789433
HB,22,bcspwr10,673,inf,inf,"[[-14.0,14.0]]",0,21.859445105759544,196,4,12,1.4278912187528614,0.00096217,21.859445105759544
HB,23,bcsstk01,53,47.84961492996343,30.266720074054174,"[[-3570948074.6974,3570948074.6974]]",0,1.1286452391969032e+18,1.2751670152185332e+19,25948647333645.586,3558015260.1672034,1173842029.0472653,3527798.1535114576,75.84
HB,24,bcsstk02,130,1.189328998049861,1.6287777822743434,"[[-31515.5306,31515.5306]]",0,169439406.30120042,993228667.9817404,7322252.917656846,28809.564413026063,7033.575075453976,52.297815205249925,4356
HB,25,bcsstk03,6,3.9250922495942135,5.429946892146303,"[[-211874080895.923,211874080895.923]]",0,6.333636241742771e+20,4.4890626155492135e+22,8.19739E+13,210656966648.4708,10617150834.787169,0,33.475
HB,26,bcsstk04,129,7.468407218075905,9.616219777547435,"[[-13686490.5521,13686490.5521]]",0,22569013947119.92,187320023633200.47,71482039.35283798,13678035.846956853,4733930.750004591,6677.879668528061,1027.1666666666667
HB,27,bcsstk05,42,1.739241920871451,1.5818276257639312,"[[-8585071.2124,8585071.2124]]",0,10300049757825.508,7.37034E+13,22154625623.18192,7001884.494080255,2333711.3513719523,53141.01959649196,319.7387536112258
HB,28,bcsstk06,93,46.71448238432492,74.43947622136642,"[[-4295243407.4261,4295243407.4261]]",0,1.2475277048693737e+18,1.8449115929037496e+19,4.35974E+12,4277294272.9218736,1303455433,843851.0055531812,447.76743002544526
HB,29,bcsstk07,93,46.71448238432492,74.43947622136642,"[[-4295243407.4261,4295243407.4261]]",0,1.2475277048693737e+18,1.8449115929037496e+19,4.35974E+12,4277294272.9218736,1303455433,843851.0055531815,447.76743002544526
HB,30,bcsstk08,1242,2.4035985481585764,4.516005485779923,"[[-89548836809.7075,89548836809.7075]]",0,8.110952025374882e+18,8.018994173971628e+21,190478966.69879964,89548523072.00458,10112955308.914412,0,1241.6194444444443
HB,31,bcsstk09,224,-0.936703003,2.215689507255242,"[[-101268095.6121,101268095.6121]]",0,2843957812190663.0,1.0255227188911158e+16,166066891213878.22,88381401.26433803,39747540.64,258917.5726778048,325.9423441991647
HB,32,bcsstk10,66,1.3268887099573925,1.5571879613348696,"[[-52137802.5282,52137802.5282]]",0,305491443754279.06,2718350452470055.5,31661563749,40052892.527078256,5312059.5961030405,3.0987896195442176e-10,498.1260534662438
HB,33,bcsstk11,194,3.4400928052712847,7.670184559382663,"[[-741314969.3463,741314969.3463]]",0,8732637529962490.0,5.495478837768525e+17,1152044444445.8752,718416221.9320368,37665781.03180358,5.037913134082507e-12,641.8158640226629
HB,34,bcsstk12,194,3.4400928052712847,7.670184559382663,"[[-741314969.3463,741314969.3463]]",0,8732637529962490.0,5.495478837768525e+17,1152044444445.8752,718416221.9320368,37665781.03180358,5.037913134082507e-12,641.8158640226629
HB,35,bcsstk13,990,1.5243099731492735,1.4942962642476556,"[[-5159647209379.974,5159647209379.974]]",0,6.81479493140363e+22,2.662195932526255e+25,1925532945870.1245,5155908895772.704,125570632383.7666,1281461.1468598314,3267.984824100235
HB,36,bcsstk14,682,9.597292302227135,8.217312620829889,"[[-13100409789.5233,13100409789.5233]]",0,1.7658240958638234e+18,1.7162073665343668e+20,1,13093147699.84082,1677747841.2391684,2.791820594150175e-18,1442.9916474926715
HB,37,bcsstk15,1052,1.856236948594532,2.240100731405384,"[[-7966070845.8823,7966070845.8823]]",0,6.292595947054028e+17,6.345828472161571e+19,1,7930530123.680895,877284927.6714635,2.791820594150175e-18,1026.9860460378895
HB,38,bcsstk16,611,1.4436429821439192,2.346516039228347,"[[-7008379365.7692,7008379365.7692]]",0,7.544856360450182e+18,4.911738133453892e+19,1,6397003722.712534,777967575.2753998,2.764715539838037e-18,4254.957717182431
HB,39,bcsstk17,1426,1.0408523217728922,1.253971557952042,"[[-19534121273.7795,19534121273.7795]]",0,8.791663131091021e+17,3.815818939387249e+20,1,18945053548.80844,332855163.0960932,2.764715539838037e-18,2077.8921451067304
HB,40,bcsstk18,3241,10.543709040255637,4.596732413117389,"[[-51260429098.4905,51260429098.4905]]",0,3.61895112934787e+18,2.6276315913613743e+21,1,51231121017.775024,1373602551.9258027,0,318.0694077402911
HB,41,bcsstk19,40,22.36542004789841,17.70183825793067,"[[-225822792489780.4,225822792489780.4]]",0,8.91270435707202e+26,5.099593360788242e+28,4.799112065563991e+17,221562232959219.1,15132405582218.443,985882.3126,83.57201225740552
HB,42,bcsstk20,37,19.439523079755222,25.20948015823796,"[[-1.4585156451433492e+16,1.4585156451433492e+16]]",0,1.1652137099991898e+30,2.12726788712792e+32,1.1729092520899515e+18,1.4575588866109228e+16,415707272363988.8,0.015096909,57.51993620414673
HB,43,bcsstk21,126,1.457050988164111,1.610181151351008,"[[-156594200.0,156594200.0]]",0,9592305858553660.0,2.452174347364e+16,1485855790.2399998,76363960,7650322.080842107,5.236503369593012e-13,57.65233082706767
HB,44,bcsstk22,26,2.967297282286828,3.334633913,"[[-6801727.542,6801727.542]]",0,4809787985845.135,46263497555789.24,66454050.49639735,6793518.145108203,1251267.803208623,0,34.758620689655174
HB,45,bcsstk23,756,187.75225156218963,63.00053995,"[[-3.1233654763624772e+16,3.1233654763624772e+16]]",0,2.0922967553105343e+30,9.755411898933004e+32,939403078715942.4,3.1170615698223964e+16,667280726879511.4,9849608.804351134,274.7348709548896
HB,46,bcsstk24,605,3.098866851507696,3.450785672437371,"[[-46889745567438.55,46889745567438.55]]",0,2.862172701397005e+24,2.1986482393791228e+27,23237897159054.223,46824295279906.016,864387895125.9728,3005065.340367764,2343.3566005878306
HB,47,bcsstk25,897,1.424393756945639,1.4658413905826002,"[[-1151233553641198.2,1151233553641198.2]]",0,2.593535277670318e+26,1.3253386950293418e+30,78071695683.35237,1151233421822976.8,1321596766297.0034,0,397.1923954
HB,48,bcsstk26,555,1.4414617565072234,1.859531312447476,"[[-228046562518.6814,228046562518.6814]]",0,1.0932608340365925e+20,5.200523467658685e+22,2964395926.1455603,227975882138.36737,8448970852.476828,46536.50081142156,330.9758043248945
HB,49,bcsstk27,127,1.168923765408221,1.661046676900172,"[[-4307014.9181,4307014.9181]]",0,1076353987887.8824,18550377504825.22,61321056.78,4243581.759117926,1089512.3864785954,1821.4008511049733,2331.733706303674
HB,50,bcsstk28,749,1.2402988457452984,1.1116040545864283,"[[-871188968.3731,871188968.3731]]",0,610654148169360.5,7.589702186150397e+17,81072460915.78348,869516853.6133207,8686399.483851584,15102.778257240076,2690.262710935788
HB,51,bcsstk29,1731,inf,inf,"[[-71.0,71.0]]",0,2515.230452,5041,25,61,5.9972106,0,2515.230452
HB,55,bcsstk33,1847,inf,inf,"[[-141.0,141.0]]",0,5177.265600502784,19881,400,113,11.154788614369895,0.4263560984550448,5177.265600502784
HB,56,bcsstm01,1,inf,inf,"[[-200.0,200.0]]",0.5,25000,40000,10000,0,0,0,1
HB,57,bcsstm02,1,inf,inf,"[[-0.1728,0.1728]]",0,0.010238854,0.029869716,0.000389942,0,0,0,1
HB,58,bcsstm03,1,inf,inf,"[[-5403.5,5403.5]]",0.3571428571428571,1441362.8506747456,29197812.25,0.010701853,0,0,0,1
HB,59,bcsstm04,1,inf,inf,"[[-0.1728,0.1728]]",0.5,0.010238854,0.029869716,0.000389942,0,0,0,1
HB,60,bcsstm05,1,inf,inf,"[[-0.928,0.928]]",0,0.1423418410405693,0.8610990740524455,0.005340383,0,0,0,1
HB,61,bcsstm06,1,inf,inf,"[[-7602.4102,7602.4102]]",0,10829256.539674891,57796641.28194528,4.835971099177057e-06,0,0,0,1
HB,62,bcsstm07,99,1.1782823245809353,1.6565301947215345,"[[-3102.7126,3102.7126]]",0,817970.9048,9626825.774387702,0.5508473330165645,3101.9704568299367,988.0406135,0.2436216980476866,383.8896856039713
HB,63,bcsstm08,1,inf,inf,"[[-1444061.0286,1444061.0286]]",0,4899461904,2085312254379.0525,0.030518098,0,0,0,1
HB,64,bcsstm09,1,inf,inf,"[[-0.0003,0.0003]]",0,2.2363853712549173e-08,6.709155979581631e-08,6.709155979581631e-16,0,0,0,1
