Group,Matrix ID,Name,RCM Bandwidth,Directional Mean Bias,Signed Frobenius Ratio,Gershgorin Discs,Strictly Diagonally Dominant Row Fraction,Fiedler Value,Brauer Mean Product (Top),Brauer Max Product,Brauer Mean Product,Brauer Min Product,Brauer Max Center Distance,Brauer Mean Center Distance
HB,5,abb313,40,inf,inf,"[[-26.0,26.0]]",0,5.425076620574343e-17,54.623635195889534,156,54.623635195889534,2,22,5.545279383429673
HB,7,ash219,48,inf,inf,"[[-9.0,9.0]]",0,0.016034103,11.068493150684931,18,11.068493150684931,4,7,3.5342465753424657
HB,9,ash331,64,inf,inf,"[[-12.0,12.0]]",0,0.010017874,13.643504531722057,24,13.643504531722057,6,10,4.821752265861028
HB,10,ash608,88,inf,inf,"[[-12.0,12.0]]",0,0.012912825,13.901315789473683,24,13.901315789473683,4,10,4.9506578947368425
HB,12,ash958,116,inf,inf,"[[-13.0,13.0]]",0,0.003243978,14.05427974947808,26,14.05427974947808,6,11,5.027139875
HB,78,beacxc,671,-0.726285357,463.8219896,"[[-221.7478,221.7478]]",0.064805583,0,29955.47426054871,232.77743059056235,3.629968243808369,2.949996664519937e-05,488,178.8010077565514
HB,169,illc1033,536,inf,inf,"[[-16.8135,16.8135]]",0,0.020286577,470.2320406865861,27.238388009842684,7.253432997168046,1.164751358,280,99.19834711
HB,170,illc1850,919,8.633503003015797,29.93113954782956,"[[-18.2923,18.2923]]",0,0.019856714,468.0939092172302,38.21157169002923,7.120699783639182,0.9749005455149468,414,94.27894858730896
HB,260,well1033,536,1.7194263320816847,2.141680940324883,"[[-15.3948,15.3948]]",0,0.019439012,469.96449704142015,24.277285261675928,6.131167787112373,0.8138091021225483,280,99.13102282333053
HB,261,well1850,919,1.501814625988838,2.025046289057097,"[[-16.8578,16.8578]]",0,0.018481225,462.7166190748144,40.44248486650847,6.708023517100299,1.1726273113433063,414,93.14928612221588
Pajek,1457,Cities,82,inf,inf,"[[-120.0,120.0]]",0,2.9681427843264947,989.9508196721312,12600,2770.020864,108,46,17.594634873323397
Pajek,1532,WorldCities,222,inf,inf,"[[-618.0,618.0]]",0.004819277,0,4169.173184357542,227424,21723.825485501464,297,267,80.41553604682096
LPnetlib,717,lpi_gran,777,-0.937912921,1.0317550399428534,"[[-7135.6223,7135.6223]]",0.010418676,0,449.7329819501765,9178750.224704957,437933.6902,0.075050932,95,15.54890358510268
Pajek,1460,divorce,36,inf,inf,"[[-37.0,37.0]]",0,0.8458143371622043,157.07555555555555,333,157.07555555555555,37,36,20.41777777777778
HB,79,beaflw,806,-0.259102263,12.433543153513275,"[[-1198542.1642,1198542.1642]]",0.011952191,0,31375.15692002322,158144714124.92044,132121462.94450456,41.99646859333561,488,184.5688444469412
HB,80,beause,698,-0.310174731,12.41317423316275,"[[-1199137.1087,1199137.1087]]",0.006972112,0,26739.085834212477,158223215601.8504,155309822.65982273,1538.3194717694355,493,214.05225471931044
HB,155,gemat1,5579,2.7888504840036474,1.0056703318299949,"[[-56128.1266,56128.1266]]",0,0.002106973,965.6912708463008,578724375.1104577,100268.97319039809,0.003345088,4926,451.5833530080917
HB,275,wm1,210,5.397696829427288,12.380930810551822,"[[-397.5481,397.5481]]",0.035123967,1.3552527156068804e-20,1529.2248195256102,110051.13968041084,96.68303672831227,1,106,25.835682365073907
HB,276,wm2,232,3.0557603981653725,-1.111874408,"[[-78.2509,78.2509]]",0.002141328,0,1502.631543167913,1850.7985798116288,45.661659648094094,0.169475509,106,25.58803535010197
HB,277,wm3,230,2.9401739739639057,-1.078106883,"[[-77.0511,77.0511]]",0.002141328,2.818925648462313e-18,1491.8602442333786,1650.719130988231,54.42942141851098,0.368424737,106,25.70895522
Pajek,1520,Sandi_sandi,51,inf,inf,"[[-26.0,26.0]]",0,0,10.31973898858075,78,10.31973898858075,1,25,4
LPnetlib,594,lp_25fv47,901,-0.557374153,1.0145218187306138,"[[-1070.37,1070.37]]",0.000370782,5.427787126005557e-17,273.8269033162074,408861.8863,7209.486136,1.1571,339,27.064549276039237
LPnetlib,595,lp_80bau3b,4386,1.311568959225626,5.583120727108293,"[[-3392.24,3392.24]]",0.008866858,0,76.96028198074278,362284.4475,642.3279383477559,1,112,20.74105914718019
